This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:    11848
Number of nonzeros in Lagrangian Hessian.............:     5280

Total number of variables............................:     3630
                     variables with only lower bounds:     1760
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3520
Total number of inequality constraints...............:      440
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      440

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  13  4.7421719e+01 1.03e-04 3.25e-01  -1.0 1.56e-01    -  1.00e+00 1.00e+00h  1
  14  3.9974313e+01 3.03e-04 3.72e+02  -1.7 2.13e-01    -  8.27e-01 1.00e+00h  1
  15  3.5039365e+01 3.43e-04 8.15e+01  -1.7 6.30e-01    -  7.96e-01 5.43e-01h  1
  16  3.1551112e+01 4.11e-04 2.97e+01  -1.7 7.10e-01    -  6.37e-01 6.25e-01h  1
  17  3.0278544e+01 1.86e-04 6.15e-01  -1.7 2.13e-01    -  1.00e+00 1.00e+00h  1
  18  3.0212543e+01 5.98e-05 2.33e-01  -1.7 1.06e-01    -  1.00e+00 1.00e+00h  1
  19  3.0190566e+01 1.98e-06 5.93e-03  -1.7 1.87e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.7573463e+01 1.84e-04 2.61e+01  -3.8 9.66e-01    -  3.37e-01 2.89e-01f  1
  21  2.6541211e+01 1.62e-04 4.17e+01  -3.8 9.97e-01    -  2.06e-01 1.44e-01h  1
  22  2.6320246e+01 2.51e-04 3.72e+01  -3.8 2.61e+01    -  1.13e-02 1.52e-02h  1
  23  2.5780536e+01 2.30e-04 7.02e+01  -3.8 4.75e-01    -  2.53e-01 8.58e-02h  1
  24  2.5477058e+01 2.94e-04 5.98e+01  -3.8 2.19e+01  -2.0 9.41e-03 2.72e-02h  1
  25  2.5154003e+01 2.78e-04 1.03e+02  -3.8 2.37e-01    -  3.58e-01 5.49e-02h  1
  26  2.2349877e+01 1.52e-04 2.69e+01  -3.8 5.18e-01    -  1.54e-01 4.49e-01h  1
  27  2.2178795e+01 1.62e-04 2.56e+01  -3.8 1.84e+01  -1.6 1.65e-02 2.00e-02h  1
  28  2.2085995e+01 1.61e-04 2.58e+01  -3.8 7.30e+00  -1.1 2.02e-02 1.54e-02h  1
  29  2.1609527e+01 1.40e-04 2.29e+01  -3.8 5.17e-01    -  1.39e-01 1.33e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  2.1375354e+01 2.35e-04 5.40e+01  -3.8 2.47e+01    -  4.38e-03 2.62e-02h  1
  31  2.1289118e+01 2.28e-04 7.04e+01  -3.8 1.36e-01    -  2.24e-01 2.86e-02h  1
  32  2.0890514e+01 1.98e-04 7.23e+01  -3.8 1.43e-01    -  3.04e-01 1.32e-01h  1
  33  1.9814219e+01 1.15e-04 1.03e+02  -3.8 1.55e-01    -  1.20e-01 4.20e-01h  1
  34  1.9626570e+01 1.13e-04 9.22e+01  -3.8 3.72e+00    -  3.19e-02 7.75e-02h  1
  35  1.9193559e+01 1.10e-04 7.08e+01  -3.8 1.61e+00  -0.7 2.07e-01 2.35e-01h  1
  36  1.9185352e+01 1.10e-04 7.04e+01  -3.8 1.22e+00    -  4.04e-03 5.99e-03h  1
  37  1.8863741e+01 1.24e-04 6.58e+01  -3.8 2.40e+00    -  3.35e-02 2.08e-01h  1
  38  1.8791025e+01 1.16e-04 3.71e+01  -3.8 5.83e-01  -0.3 3.73e-01 7.43e-02h  1
  39  1.8409461e+01 1.47e-04 5.41e+01  -3.8 3.76e-01   0.1 7.12e-03 4.61e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.8405459e+01 1.46e-04 3.01e+01  -3.8 5.53e-01  -0.3 2.67e-01 7.87e-03h  1
  41  1.8279974e+01 1.53e-04 3.11e+01  -3.8 3.63e+00  -0.8 3.60e-02 1.03e-01h  1
  42  1.8260662e+01 1.52e-04 1.06e+02  -3.8 5.84e+00  -1.3 3.51e-02 8.55e-03h  1
  43  1.8222195e+01 1.51e-04 5.94e+01  -3.8 3.70e+00  -0.9 3.98e-04 1.78e-02h  1
  44  1.8172867e+01 1.47e-04 1.57e+02  -3.8 1.95e+00  -0.4 1.76e-02 3.25e-02h  1
  45  1.8145038e+01 1.48e-04 1.60e+02  -3.8 4.55e+01  -0.0 2.54e-04 1.15e-03h  1
  46  1.8123766e+01 1.42e-04 1.43e+02  -3.8 8.50e-01  -0.5 2.16e-01 4.58e-02h  1
  47  1.7889151e+01 3.80e-05 3.79e+01  -3.8 2.73e-01  -0.1 7.00e-01 7.50e-01h  1
  48  1.7801734e+01 1.10e-04 7.49e+00  -3.8 1.69e-01   0.4 7.89e-01 1.00e+00h  1
  49  1.7751500e+01 1.45e-05 1.86e+00  -3.8 6.87e-02   0.8 7.68e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.7694640e+01 5.20e-05 5.55e+00  -3.8 3.62e-01   0.3 3.71e-01 2.60e-01h  1
  51  1.7691483e+01 4.99e-05 1.80e+02  -3.8 8.57e-02   0.7 1.00e+00 4.24e-02h  1
  52  1.7662233e+01 1.64e-05 7.03e+01  -3.8 1.16e-01   0.2 1.00e+00 6.92e-01h  1
  53  1.7630896e+01 1.40e-05 1.10e+02  -3.8 2.96e-01  -0.2 1.24e-01 3.43e-01h  1
  54  1.7563224e+01 2.57e-04 2.56e+01  -3.8 3.56e-01   0.2 3.57e-01 6.91e-01h  1
  55  1.7516834e+01 1.74e-04 1.16e+01  -3.8 1.30e-01   0.6 8.33e-01 3.55e-01h  1
  56  1.7445475e+01 3.16e-05 1.43e+01  -3.8 1.81e-01   0.1 1.15e-01 1.00e+00h  1
  57  1.7430887e+01 2.73e-05 1.23e+02  -3.8 9.19e-02   0.6 8.36e-01 1.52e-01h  1
  58  1.7410505e+01 2.68e-05 1.17e+02  -3.8 2.19e-01   0.1 2.69e-01 2.34e-01h  1
  59  1.7381237e+01 2.69e-05 6.13e+00  -3.8 1.11e-01   0.5 1.00e+00 7.17e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.7309349e+01 1.22e-04 6.29e+01  -3.8 8.08e-01   0.0 1.22e-01 1.78e-01h  1
  61  1.7308619e+01 1.22e-04 6.41e+01  -3.8 2.19e+00  -0.4 4.42e-02 8.37e-04h  1
  62  1.7280373e+01 1.35e-04 6.22e+01  -3.8 4.10e+00  -0.0 3.05e-04 3.89e-02h  1
  63  1.7254601e+01 1.05e-04 6.68e+01  -3.8 1.67e-01   0.4 9.56e-01 2.29e-01h  1
  64  1.7234724e+01 1.00e-04 6.07e+01  -3.8 7.18e-01  -0.1 4.64e-02 4.93e-02h  1
  65  1.7204232e+01 7.22e-05 7.12e+01  -3.8 1.49e-01   0.4 3.55e-01 2.85e-01h  1
  66  1.7159478e+01 1.96e-05 1.94e+01  -3.8 7.10e-02   0.8 1.00e+00 8.66e-01h  1
  67  1.7113339e+01 3.39e-05 2.16e+01  -3.8 2.48e-01   0.3 3.65e-01 3.05e-01h  1
  68  1.7070320e+01 2.56e-05 6.32e+00  -3.8 9.50e-02   0.7 9.65e-01 6.59e-01h  1
  69  1.7023092e+01 1.12e-04 1.30e+01  -3.8 1.88e-01   0.3 6.44e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.6983314e+01 4.69e-05 3.14e+00  -3.8 7.95e-02   0.7 7.51e-01 6.49e-01h  1
  71  1.6948293e+01 5.67e-05 3.99e+01  -3.8 4.58e-01   0.2 3.64e-01 1.29e-01h  1
  72  1.6928041e+01 4.38e-05 1.98e+02  -3.8 9.66e-02   0.6 7.26e-01 2.80e-01h  1
  73  1.6891676e+01 5.86e-05 1.79e+02  -3.8 7.03e-01   0.2 2.26e-02 8.53e-02h  1
  74  1.6886200e+01 5.68e-05 1.70e+02  -3.8 5.93e-01  -0.3 1.93e-01 3.38e-02h  1
  75  1.6831085e+01 2.15e-04 5.66e+01  -3.8 3.70e-01   0.1 3.20e-01 6.67e-01h  1
  76  1.6751188e+01 9.75e-05 1.71e+01  -3.8 1.38e-01   0.5 8.08e-01 6.80e-01h  1
  77  1.6713314e+01 1.09e-04 1.62e+01  -3.8 1.63e+00   0.1 4.95e-02 3.21e-02h  1
  78  1.6697059e+01 9.90e-05 7.62e+01  -3.8 1.72e-01   0.5 2.15e-01 1.05e-01h  1
  79  1.6689434e+01 9.76e-05 1.66e+02  -3.8 4.29e-01   0.0 8.78e-02 1.94e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.6652910e+01 3.03e-06 1.89e-01  -3.8 6.93e-02   0.4 1.00e+00 1.00e+00h  1
  81  1.6640329e+01 4.43e-06 1.38e+01  -3.8 2.40e-01  -0.0 1.36e-01 1.73e-01h  1
  82  1.6610554e+01 2.75e-05 1.13e+01  -3.8 1.21e-01   0.4 3.78e-01 8.66e-01h  1
  83  1.6585283e+01 6.75e-06 3.15e-01  -3.8 4.88e-02   0.8 1.00e+00 1.00e+00h  1
  84  1.6520269e+01 8.05e-05 4.34e+00  -3.8 2.47e-01   0.3 4.36e-01 5.51e-01h  1
  85  1.6519492e+01 8.02e-05 8.89e+00  -3.8 4.47e-01  -0.1 2.35e-01 4.11e-03h  1
  86  1.6478260e+01 6.69e-05 7.35e+00  -3.8 1.86e-01   0.3 5.96e-01 7.79e-01h  1
  87  1.6467804e+01 6.68e-05 8.02e+01  -3.8 9.87e-01  -0.2 9.30e-02 2.47e-02h  1
  88  1.6439406e+01 4.95e-05 1.23e+02  -3.8 1.69e-01   0.2 4.77e-01 3.26e-01h  1
  89  1.6401258e+01 1.41e-05 2.07e+01  -3.8 7.89e-02   0.7 8.66e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.6319316e+01 1.11e-04 9.73e+01  -3.8 3.68e-01   0.2 2.44e-01 4.45e-01h  1
  91  1.6296294e+01 9.22e-05 7.87e+01  -3.8 1.44e-01   0.6 5.68e-01 1.99e-01h  1
  92  1.6250859e+01 1.09e-04 4.56e+01  -3.8 4.13e-01   0.1 2.35e-01 4.15e-01h  1
  93  1.6227028e+01 8.42e-05 7.05e+01  -3.8 1.15e-01   0.6 9.98e-01 2.53e-01h  1
  94  1.6204419e+01 7.99e-05 4.62e+01  -3.8 3.52e-01   0.1 8.11e-02 1.05e-01h  1
  95  1.6184760e+01 6.09e-05 6.37e+01  -3.8 1.02e-01   0.5 3.24e-01 2.57e-01h  1
  96  1.6110905e+01 1.63e-04 4.17e+01  -3.8 5.36e+00   0.0 6.02e-04 2.60e-02h  1
  97  1.6110306e+01 1.63e-04 4.16e+01  -3.8 7.21e+00  -0.5 2.05e-02 1.84e-04h  1
  98  1.6061258e+01 1.77e-04 3.90e+01  -3.8 3.05e+00  -0.0 5.69e-04 6.48e-02h  1
  99  1.6027193e+01 1.43e-04 3.10e+01  -3.8 2.04e-01   0.4 6.14e-01 1.98e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.6007000e+01 1.41e-04 5.74e+01  -3.8 2.10e+00  -0.1 2.49e-02 1.41e-02h  1
 101  1.5966297e+01 1.10e-04 1.18e+02  -3.8 1.84e-01   0.4 3.58e-01 2.45e-01h  1
 102  1.5898411e+01 3.66e-05 2.21e+01  -3.8 8.29e-02   0.8 1.00e+00 8.03e-01h  1
 103  1.5877783e+01 1.45e-05 7.73e+01  -3.8 9.62e-02   0.3 9.54e-01 5.83e-01h  1
 104  1.5791558e+01 1.70e-04 4.63e+01  -3.8 7.53e-01  -0.2 3.42e-02 4.35e-01h  1
 105  1.5775910e+01 1.64e-04 4.37e+01  -3.8 4.24e-01   0.2 4.45e-01 4.97e-02h  1
 106  1.5705230e+01 9.01e-05 2.95e+01  -3.8 4.26e-01  -0.2 1.09e-01 4.61e-01h  1
 107  1.5695711e+01 8.24e-05 5.35e+01  -3.8 1.53e-01   0.2 1.98e-01 9.08e-02h  1
 108  1.5681803e+01 7.98e-05 2.39e+01  -3.8 9.32e-01  -0.3 2.10e-02 4.18e-02h  1
 109  1.5653470e+01 5.10e-05 4.24e+01  -3.8 1.41e-01   0.1 2.93e-01 3.80e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.5615941e+01 1.88e-05 5.22e-01  -3.8 8.44e-02   0.6 1.00e+00 1.00e+00h  1
 111  1.5535329e+01 1.43e-04 8.04e+01  -3.8 6.00e-01   0.1 1.46e-01 2.86e-01h  1
 112  1.5534682e+01 1.43e-04 8.17e+01  -3.8 4.35e+00  -0.4 2.93e-02 2.95e-04h  1
 113  1.5498065e+01 1.27e-04 6.54e+01  -3.8 7.44e-01   0.0 3.88e-03 1.86e-01h  1
 114  1.5481386e+01 1.03e-04 9.21e+01  -3.8 1.28e-01   0.5 1.00e+00 1.90e-01h  1
 115  1.5460275e+01 9.18e-05 6.50e+01  -3.8 3.28e-01  -0.0 9.00e-02 1.17e-01h  1
 116  1.5419776e+01 4.09e-05 1.23e+02  -3.8 1.03e-01   0.4 2.71e-01 5.64e-01h  1
 117  1.5389597e+01 7.01e-06 3.69e-01  -3.8 5.29e-02   0.8 1.00e+00 1.00e+00h  1
 118  1.5313523e+01 7.36e-05 9.71e+01  -3.8 2.09e-01   0.4 2.97e-01 6.79e-01h  1
 119  1.5312894e+01 7.34e-05 9.95e+01  -3.8 4.50e-01  -0.1 2.08e-01 2.96e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.5261693e+01 9.03e-05 1.31e+01  -3.8 1.68e-01   0.3 6.53e-01 1.00e+00h  1
 121  1.5218092e+01 1.75e-05 2.48e+00  -3.8 6.62e-02   0.7 7.93e-01 8.97e-01h  1
 122  1.5197432e+01 2.06e-05 8.64e+01  -3.8 3.16e-01   0.3 4.87e-01 1.15e-01h  1
 123  1.5163169e+01 3.50e-05 7.77e+01  -3.8 1.88e+00  -0.2 2.92e-02 3.04e-02h  1
 124  1.5145531e+01 3.29e-05 2.98e+01  -3.8 2.34e-01   0.2 7.35e-02 1.16e-01h  1
 125  1.5108697e+01 3.40e-05 1.31e+01  -3.8 1.21e-01   0.6 1.00e+00 4.95e-01h  1
 126  1.5065951e+01 1.93e-05 6.10e+01  -3.8 1.54e-01   0.2 4.24e-01 1.00e+00h  1
 127  1.5048498e+01 1.42e-05 3.31e+01  -3.8 8.31e-02   0.6 7.80e-01 4.16e-01h  1
 128  1.4976980e+01 1.31e-04 2.62e+01  -3.8 7.62e-01   0.1 7.52e-02 2.18e-01h  1
 129  1.4949233e+01 1.07e-04 3.80e+01  -3.8 1.58e-01   0.5 6.26e-01 2.09e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.4935772e+01 1.05e-04 6.96e+01  -3.8 4.42e-01   0.1 5.31e-02 3.55e-02h  1
 131  1.4911030e+01 1.00e-04 8.74e+01  -3.8 1.15e+00  -0.4 1.26e-02 7.65e-02h  1
 132  1.4905261e+01 9.23e-05 2.05e+01  -3.8 1.36e-01   0.0 2.02e-01 8.02e-02h  1
 133  1.4856003e+01 2.79e-05 5.84e-01  -3.8 1.15e-01   0.4 1.00e+00 1.00e+00h  1
 134  1.4770398e+01 1.97e-04 6.39e+01  -3.8 4.38e+00  -0.0 2.35e-02 4.26e-02h  1
 135  1.4733921e+01 1.76e-04 5.38e+01  -3.8 2.97e-01   0.4 2.57e-01 1.42e-01h  1
 136  1.4704179e+01 4.70e-06 2.66e-01  -3.8 4.13e-02   0.8 1.00e+00 1.00e+00h  1
 137  1.4680815e+01 5.24e-06 3.56e+00  -3.8 1.23e-01   0.3 4.77e-01 4.31e-01h  1
 138  1.4670044e+01 6.07e-06 7.67e+01  -3.8 3.33e-01  -0.1 1.30e-01 6.95e-02h  1
 139  1.4648609e+01 6.51e-06 5.95e+01  -3.8 1.06e-01   0.3 2.21e-01 4.17e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.4623299e+01 1.06e-05 3.13e-01  -3.8 6.16e-02   0.7 1.00e+00 9.99e-01h  1
 141  1.4553869e+01 8.57e-05 5.75e+01  -3.8 3.17e-01   0.2 2.37e-01 4.47e-01h  1
 142  1.4553186e+01 8.56e-05 5.96e+01  -3.8 7.41e-01  -0.2 1.58e-01 2.12e-03h  1
 143  1.4506927e+01 9.30e-05 2.57e+01  -3.8 3.01e-01   0.2 3.12e-01 5.60e-01h  1
 144  1.4487552e+01 6.74e-05 4.54e+01  -3.8 9.03e-02   0.6 7.86e-01 2.91e-01h  1
 145  1.4470584e+01 6.20e-05 8.58e+01  -3.8 2.61e-01   0.1 1.74e-01 1.13e-01h  1
 146  1.4432603e+01 8.72e-05 9.28e+01  -3.8 2.69e+01  -0.3 3.00e-04 2.74e-03h  1
 147  1.4372751e+01 6.95e-05 4.71e+02  -3.8 2.38e-01   0.1 8.52e-02 4.02e-01h  1
 148  1.4325593e+01 6.12e-05 2.93e+02  -3.8 1.85e-01   0.5 5.48e-01 3.84e-01h  1
 149  1.4324773e+01 6.11e-05 2.92e+02  -3.8 1.13e+00   0.0 1.76e-03 2.21e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.4307129e+01 1.88e-05 5.67e+00  -3.8 9.18e-02   0.5 7.94e-01 1.00e+00h  1
 151  1.4235595e+01 1.09e-04 1.14e+01  -3.8 9.87e-01  -0.0 6.93e-02 1.79e-01h  1
 152  1.4209323e+01 9.75e-05 4.63e+01  -3.8 2.28e-01   0.4 5.79e-01 1.43e-01h  1
 153  1.4191182e+01 9.68e-05 3.07e+01  -3.8 7.17e-01  -0.1 2.74e-02 3.38e-02h  1
 154  1.4163921e+01 8.02e-05 6.25e+01  -3.8 1.56e-01   0.3 2.40e-01 1.99e-01h  1
 155  1.4157562e+01 8.05e-05 6.13e+01  -3.8 3.56e+00  -0.1 9.27e-04 2.38e-03h  1
 156  1.4046022e+01 9.37e-05 5.85e+01  -3.8 1.76e+00  -0.6 1.62e-02 2.47e-01h  1
 157  1.4043345e+01 9.15e-05 5.99e+01  -3.8 5.21e-02   0.7 9.55e-01 2.35e-02h  1
 158  1.4021082e+01 6.11e-05 5.23e+01  -3.8 5.73e-01    -  6.99e-02 3.36e-01h  1
 159  1.3976987e+01 1.56e-05 1.27e+01  -3.8 1.30e-01   0.2 1.00e+00 7.69e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.3948700e+01 1.42e-05 1.80e+01  -3.8 5.62e-01  -0.2 2.57e-02 1.69e-01h  1
 161  1.3941489e+01 1.25e-05 1.65e+02  -3.8 1.47e-01   0.2 5.60e-01 1.21e-01h  1
 162  1.3914933e+01 2.35e-05 4.09e+01  -3.8 6.08e-01  -0.3 6.38e-02 1.37e-01h  1
 163  1.3823352e+01 3.29e-04 2.98e+01  -3.8 5.57e-01   0.1 2.74e-01 5.08e-01h  1
 164  1.3776826e+01 2.55e-04 2.45e+01  -3.8 1.68e-01   0.6 3.78e-01 2.43e-01h  1
 165  1.3756734e+01 2.36e-04 2.25e+01  -3.8 5.56e-01   0.1 2.85e-02 8.02e-02h  1
 166  1.3738350e+01 1.84e-04 1.54e+02  -3.8 8.42e-02   0.5 8.38e-01 2.21e-01h  1
 167  1.3711234e+01 1.50e-04 1.10e+02  -3.8 2.61e-01   0.0 1.66e-01 1.89e-01h  1
 168  1.3633888e+01 5.11e-05 4.70e-01  -3.8 1.31e-01   0.5 1.00e+00 1.00e+00h  1
 169  1.3573972e+01 9.31e-05 5.75e+00  -3.8 1.75e+00  -0.0 5.25e-02 5.61e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.3572387e+01 9.04e-05 2.74e+01  -3.8 1.19e-01   0.4 6.86e-01 2.89e-02h  1
 171  1.3469147e+01 5.01e-05 2.89e+01  -3.8 3.05e-01  -0.1 1.81e-01 1.00e+00h  1
 172  1.3451490e+01 4.58e-05 7.87e+01  -3.8 2.05e-01   0.4 6.92e-01 1.40e-01h  1
 173  1.3428739e+01 4.76e-05 3.82e+01  -3.8 6.06e-01  -0.1 1.50e-02 6.16e-02h  1
 174  1.3407159e+01 3.86e-05 2.93e+01  -3.8 1.24e-01   0.3 2.27e-01 2.41e-01h  1
 175  1.3401409e+01 3.38e-05 9.62e+01  -3.8 6.88e-02   0.7 1.00e+00 1.31e-01h  1
 176  1.3376469e+01 5.65e-06 1.19e+02  -3.8 9.35e-02   0.3 3.88e-01 8.41e-01h  1
 177  1.3346682e+01 8.86e-06 8.68e+01  -3.8 4.58e-01  -0.2 1.35e-01 2.51e-01h  1
 178  1.3282028e+01 1.64e-04 2.21e+01  -3.8 2.88e-01   0.2 3.72e-01 7.70e-01h  1
 179  1.3246516e+01 1.12e-04 1.90e+01  -3.8 1.12e-01   0.6 7.20e-01 3.50e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.3224654e+01 1.08e-04 4.33e+01  -3.8 4.91e-01   0.2 1.03e-01 6.00e-02h  1
 181  1.3203237e+01 1.09e-04 2.44e+01  -3.8 9.89e-01  -0.3 1.33e-02 2.80e-02h  1
 182  1.3174073e+01 1.00e-04 1.16e+01  -3.8 3.06e-01   0.1 1.31e-01 1.21e-01h  1
 183  1.3150306e+01 5.96e-06 2.36e-01  -3.8 6.88e-02   0.5 1.00e+00 1.00e+00h  1
 184  1.3106578e+01 3.77e-05 1.15e+02  -3.8 3.00e-01   0.1 1.47e-01 4.05e-01h  1
 185  1.3045922e+01 4.61e-05 3.94e+01  -3.8 1.36e-01   0.5 5.10e-01 8.19e-01h  1
 186  1.2988861e+01 8.04e-05 3.86e+01  -3.8 6.14e+00   0.0 1.92e-02 1.39e-02h  1
 187  1.2985293e+01 7.56e-05 5.53e+01  -3.8 1.25e-01   0.4 8.19e-01 6.06e-02h  1
 188  1.2949993e+01 5.24e-05 2.72e+01  -3.8 2.81e-01  -0.0 2.26e-01 3.33e-01h  1
 189  1.2932711e+01 4.89e-05 5.99e+01  -3.8 4.97e-01  -0.5 4.22e-02 7.90e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  1.2921888e+01 4.49e-05 2.37e+01  -3.8 2.88e-01  -0.1 1.44e-01 8.62e-02h  1
 191  1.2841730e+01 1.45e-04 3.91e+00  -3.8 2.08e-01   0.3 9.51e-01 1.00e+00h  1
 192  1.2812524e+01 1.04e-04 4.73e+01  -3.8 9.04e-02   0.8 7.25e-01 3.15e-01h  1
 193  1.2762538e+01 1.06e-05 9.02e+00  -3.8 1.28e-01   0.3 5.42e-01 1.00e+00h  1
 194  1.2737160e+01 7.19e-06 8.21e+00  -3.8 6.14e-02   0.7 1.00e+00 6.34e-01h  1
 195  1.2716032e+01 1.16e-05 1.63e+01  -3.8 2.74e-01   0.2 2.18e-01 1.67e-01h  1
 196  1.2702408e+01 1.24e-05 1.11e+01  -3.8 4.02e-01  -0.2 6.08e-02 6.32e-02h  1
 197  1.2678612e+01 1.37e-05 5.21e+01  -3.8 1.69e-01   0.2 2.01e-01 2.73e-01h  1
 198  1.2632327e+01 3.40e-05 4.12e-01  -3.8 1.03e-01   0.6 1.00e+00 1.00e+00h  1
 199  1.2605129e+01 3.95e-05 5.49e+00  -3.8 7.17e-01   0.1 4.56e-02 5.64e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  1.2594048e+01 7.38e-06 4.73e+00  -3.8 6.44e-02   0.6 9.04e-01 1.00e+00h  1
 201  1.2518438e+01 6.98e-05 1.51e+01  -3.8 3.19e-01   0.1 1.63e-01 6.62e-01h  1
 202  1.2495291e+01 5.82e-05 2.98e+01  -3.8 1.47e-01   0.5 6.38e-01 2.16e-01h  1
 203  1.2479411e+01 5.74e-05 7.50e+01  -3.8 4.93e-01   0.0 8.43e-02 4.66e-02h  1
 204  1.2455389e+01 4.52e-05 8.05e+01  -3.8 1.16e-01   0.5 2.96e-01 2.57e-01h  1
 205  1.2412677e+01 1.11e-05 4.29e-01  -3.8 5.71e-02   0.9 1.00e+00 1.00e+00h  1
 206  1.2411265e+01 1.09e-05 9.12e+01  -3.8 8.89e-02   0.4 3.71e-01 2.06e-02h  1
 207  1.2401261e+01 7.90e-07 2.00e-01  -3.8 2.98e-02   0.8 1.00e+00 1.00e+00h  1
 208  1.2373920e+01 6.18e-06 6.06e+00  -3.8 9.98e-02   0.3 5.03e-01 1.00e+00h  1
 209  1.2357668e+01 3.93e-06 2.68e-01  -3.8 4.50e-02   0.8 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
